"","id","dam","sire"
"316","1985_C-02_1",NA,NA
"317","1985_C-02_2",NA,NA
"318","1985_C-14_1",NA,NA
"319","1985_C-14_2",NA,NA
"320","1985_E-06_1",NA,NA
"321","1985_E-08_1",NA,NA
"322","1985_E-08_2",NA,NA
"323","1985_G-09_1",NA,NA
"324","1985_H=FFW_2",NA,NA
"325","1985_L-14_1",NA,NA
"326","1985_L-14_2",NA,NA
"327","714-10691",NA,NA
"328","1985_P=85bx_1",NA,NA
"329","1985_P-05_1",NA,NA
"330","1985_P-05_2",NA,NA
"331","1985_P-06_1",NA,NA
"332","1985_Q=21w_1",NA,NA
"333","1985_S-11_1",NA,NA
"334","1985_S-11_2",NA,NA
"335","1985_U=97nw_1",NA,NA
"336","1985_U=97nw_2",NA,NA
"337","1985_U=97W_1",NA,NA
"338","1985_U-02_1",NA,NA
"339","1985_V=11_1",NA,NA
"340","1985_V=11_2",NA,NA
"341","714-10802",NA,NA
"342","1985_V=11st_2",NA,NA
"343","1986_46f_2",NA,NA
"344","1986_62e_1",NA,NA
"345","1986_62ne_1",NA,NA
"346","1986_97nw1_1",NA,NA
"347","1986_97nw1_2",NA,NA
"348","1986_97nw2_1",NA,NA
"349","1986_97nw2_2",NA,NA
"350","1986_97ot_1",NA,NA
"351","1986_97ot_2",NA,NA
"352","1986_ecmprr_1",NA,NA
"353","1986_G=HXBX_1",NA,NA
"354","1986_G=HXBX_2",NA,NA
"355","1986_G-04_1",NA,NA
"356","1986_G-04_2",NA,NA
"357","1986_G-09_1",NA,NA
"358","1986_G-16_1",NA,NA
"359","1986_G-16_2",NA,NA
"360","1986_H=FFW_1",NA,NA
"361","1986_I=67NW_1",NA,NA
"362","1986_I-11_2",NA,NA
"363","1986_J=12CRT_A",NA,NA
"364","1986_J=12CRT_B",NA,NA
"365","1986_J-01_2",NA,NA
"366","1986_K=7n_1",NA,NA
"367","1986_L=69_1",NA,NA
"368","1986_L=69_2",NA,NA
"369","1986_L-05_1",NA,NA
"370","1986_L-05_2",NA,NA
"371","1986_mtbr_1",NA,NA
"372","1986_mtbr_2",NA,NA
"373","1986_O-07_1",NA,NA
"374","1986_O-07_2",NA,NA
"375","1986_P=85BX_1",NA,NA
"376","1986_P=85BX_2",NA,NA
"377","1986_P=CMPST_2",NA,NA
"378","1986_Q=10AMID_1",NA,NA
"379","1986_Q=127W_1",NA,NA
"380","1986_Q=127W_2",NA,NA
"381","1986_R=54TOP_1",NA,NA
"382","1986_S-06_1",NA,NA
"383","1986_S-06_2",NA,NA
"384","1986_S-08_A",NA,NA
"385","1986_T-03_1",NA,NA
"386","1986_T-03_2",NA,NA
"387","1986_T-05_1",NA,NA
"388","1986_T-05_2",NA,NA
"389","1986_T-06_1",NA,NA
"390","1986_T-06_2",NA,NA
"391","1986_U=44S_1",NA,NA
"392","1986_U=97w_1",NA,NA
"393","1986_U=97w_2",NA,NA
"394","1986_V=28_2",NA,NA
"395","1986_V=28PR_2",NA,NA
"396","1986_V=37PR_1",NA,NA
"397","1986_V=37PR_2",NA,NA
"398","1986_V=NATURAL_2",NA,NA
"399","1986_V=SBLB_1",NA,NA
"400","1986_V=SBLB_2",NA,NA
"401","1986_V=WGBR2_1",NA,NA
"402","1986_V=WGBR2_2",NA,NA
"403","1987_108ent_1",NA,NA
"404","1987_149w_1",NA,NA
"405","1987_149w_2",NA,NA
"406","1987_46woos_1",NA,NA
"407","1987_51s_1",NA,NA
"408","1987_62b_2",NA,NA
"409","1987_7a2_1",NA,NA
"410","1987_7a2_2",NA,NA
"411","1987_8aoos_1",NA,NA
"412","1987_93tr_1",NA,NA
"413","1987_93tr_2",NA,NA
"414","1987_97ns_1",NA,NA
"415","1987_97ns2_1",NA,NA
"416","1987_97ot_1",NA,NA
"417","1987_97ot_2",NA,NA
"418","1987_e86_1",NA,NA
"419","1987_G-11_2",NA,NA
"420","1987_H=FFW_1",NA,NA
"421","1987_H=FFW_2",NA,NA
"422","1987_I-01_1",NA,NA
"423","1987_I-01_2",NA,NA
"424","1987_I-01_3",NA,NA
"425","1987_K-15_1",NA,NA
"426","1987_K-15_2",NA,NA
"427","1987_mtbroos_1",NA,NA
"428","1987_mtbroos_2",NA,NA
"429","1987_mthbrl_1",NA,NA
"430","1987_O-03_2",NA,NA
"431","1987_O-07_1",NA,NA
"432","1987_P-11_1",NA,NA
"433","1987_P-13_1",NA,NA
"434","1987_P-13_2",NA,NA
"435","684-59864",NA,NA
"436","1987_S-03_3",NA,NA
"437","1987_S-09_1",NA,NA
"438","1987_S-09_2",NA,NA
"439","1987_U-04_1",NA,NA
"440","1987_U-04_2",NA,NA
"441","1987_V=28sp_1",NA,NA
"442","1987_V=WGBR2_1",NA,NA
"443","1987_V=WGBR2_2",NA,NA
"444","1988_10as_1",NA,NA
"445","1988_10as_2",NA,NA
"446","1988_2x_A",NA,NA
"447","1988_2x_B",NA,NA
"448","1988_97b_1",NA,NA
"449","1988_97b_2",NA,NA
"450","1988_bottlebox_1",NA,NA
"451","1988_C-14_1",NA,NA
"452","1988_E=93P_1",NA,NA
"453","714-11239",NA,NA
"454","714-11240",NA,NA
"455","1988_G-06_1",NA,NA
"456","1988_G-06_2",NA,NA
"457","714-11370",NA,NA
"458","714-11355",NA,NA
"459","1988_H=WTANK_1",NA,NA
"460","1988_H=WTANK_2",NA,NA
"461","714-11306",NA,NA
"462","714-11324",NA,NA
"463","714-11379",NA,NA
"464","714-11380",NA,NA
"465","1988_R=54W_1",NA,NA
"466","1988_sbbr_A",NA,NA
"467","1988_sbbr_B",NA,NA
"468","1988_U=103_1",NA,NA
"469","1988_U=150S_2",NA,NA
"470","1988_V=28_1",NA,NA
"471","1988_V=28_2",NA,NA
"472","1988_V=37PR_1",NA,NA
"473","1988_V=37PR_2",NA,NA
